Customer,XC,YC,demand,readyTime,dueTime,serviceTime,completeTime
1,25.0,85.0,20.0,49.0,191.0,10.0,201.0
2,22.0,75.0,30.0,30.0,168.0,10.0,178.0
3,22.0,85.0,10.0,95.0,152.0,10.0,162.0
4,20.0,80.0,40.0,69.0,193.0,10.0,203.0
5,20.0,85.0,20.0,40.0,189.0,10.0,199.0
6,18.0,75.0,20.0,60.0,159.0,10.0,169.0
7,15.0,75.0,20.0,54.0,133.0,10.0,143.0
8,15.0,80.0,10.0,67.0,144.0,10.0,154.0
9,10.0,35.0,20.0,57.0,154.0,10.0,164.0
10,10.0,40.0,30.0,106.0,161.0,10.0,171.0
11,8.0,40.0,40.0,33.0,152.0,10.0,162.0
12,8.0,45.0,20.0,32.0,148.0,10.0,158.0
13,5.0,35.0,10.0,53.0,191.0,10.0,201.0
14,5.0,45.0,10.0,35.0,194.0,10.0,204.0
15,2.0,40.0,20.0,39.0,163.0,10.0,173.0
16,0.0,40.0,20.0,41.0,141.0,10.0,151.0
17,0.0,45.0,20.0,51.0,189.0,10.0,199.0
18,44.0,5.0,20.0,73.0,130.0,10.0,140.0
19,42.0,10.0,40.0,40.0,148.0,10.0,158.0
20,42.0,15.0,10.0,94.0,179.0,10.0,189.0
21,40.0,5.0,10.0,45.0,161.0,10.0,171.0
22,40.0,15.0,40.0,64.0,149.0,10.0,159.0
23,38.0,5.0,30.0,45.0,164.0,10.0,174.0
24,38.0,15.0,10.0,51.0,194.0,10.0,204.0
25,35.0,5.0,20.0,45.0,183.0,10.0,193.0
26,95.0,30.0,30.0,90.0,169.0,10.0,179.0
27,95.0,35.0,20.0,57.0,172.0,10.0,182.0
28,92.0,30.0,10.0,55.0,174.0,10.0,184.0
29,90.0,35.0,10.0,52.0,174.0,10.0,184.0
30,88.0,30.0,10.0,52.0,147.0,10.0,157.0
31,88.0,35.0,20.0,50.0,172.0,10.0,182.0
32,87.0,30.0,10.0,61.0,178.0,10.0,188.0
33,85.0,25.0,10.0,51.0,178.0,10.0,188.0
34,85.0,35.0,30.0,83.0,168.0,10.0,178.0
35,67.0,85.0,20.0,57.0,185.0,10.0,195.0
36,65.0,85.0,40.0,43.0,186.0,10.0,196.0
37,65.0,82.0,10.0,95.0,182.0,10.0,192.0
38,62.0,80.0,30.0,38.0,141.0,10.0,151.0
39,60.0,80.0,10.0,36.0,193.0,10.0,203.0
40,60.0,85.0,30.0,61.0,138.0,10.0,148.0
41,58.0,75.0,20.0,49.0,164.0,10.0,174.0
42,55.0,80.0,10.0,33.0,180.0,10.0,190.0
43,55.0,85.0,20.0,100.0,185.0,10.0,195.0
44,55.0,82.0,10.0,35.0,142.0,10.0,152.0
45,20.0,82.0,10.0,37.0,192.0,10.0,202.0
46,18.0,80.0,10.0,71.0,184.0,10.0,194.0
47,2.0,45.0,10.0,38.0,191.0,10.0,201.0
48,42.0,5.0,10.0,50.0,184.0,10.0,194.0
49,42.0,12.0,10.0,99.0,138.0,10.0,148.0
50,72.0,35.0,30.0,83.0,178.0,10.0,188.0
