0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,15.231546211727816,18.0,22.36067977499789,25.0,20.615528128088304,11.180339887498945,21.213203435596427,26.248809496813372,32.01562118716424,25.495097567963924,33.541019662496836,15.0,11.180339887498945,32.01562118716424,30.413812651491103,29.154759474226502,30.413812651491103,15.811388300841895,32.01562118716424,31.622776601683796,18.027756377319946,26.925824035672523,36.05551275463989,30.0,33.541019662496836,11.180339887498945,5.0,6.324555320336759,29.8328677803526,25.495097567963924,17.464249196572982,34.0,24.75883680627989,36.05551275463989,41.03656905736639,41.400483088968905,21.213203435596427,42.42640687119285,33.97057550292606,11.180339887498945,28.861739379323627,25.495097567963924,34.17601498127012,31.89043743820395,29.154759474226502,35.4682957019364,34.205262752974136,27.802877548915692,43.93176527297759,16.97056274847714
15.231546211727816,,32.55764119219941,14.560219778561034,32.202484376209235,32.202484376209235,24.839484696748446,21.02379604162864,31.57530680769389,17.804493814764854,15.556349186104045,26.40075756488817,16.643316977093242,26.40075756488817,46.872166581031856,45.35416188179427,42.44997055358225,40.70626487409525,22.84731931759173,28.23118842698621,16.492422502470642,29.27456233660889,39.204591567825325,46.17358552246078,27.784887978899608,37.64306044943742,19.416487838947603,10.816653826391967,12.0,24.041630560342607,11.04536101718726,10.44030650891055,20.8806130178211,12.369316876852979,24.738633753705958,27.202941017470888,40.521599178709614,35.805027579936315,56.85068161420758,41.59326868617085,24.020824298928627,42.01190307520001,40.718546143004666,49.396356140913866,46.09772228646443,36.68787265568828,39.01281840626232,33.734255586866,28.16025568065745,39.824615503479755,6.324555320336759
18.0,32.55764119219941,,34.40930106817051,20.223748416156685,23.853720883753127,16.401219466856727,36.24913792078372,36.069377593742864,47.4236228055175,43.289721643826724,50.28916384272063,23.430749027719962,9.433981132056603,21.18962010041709,13.0,25.179356624028344,32.69556544854363,27.459060435491967,47.4236228055175,49.03060268852505,10.44030650891055,12.206555615733702,23.323807579381203,34.9857113690718,30.14962686336267,16.401219466856727,23.0,20.8806130178211,38.28837943815329,43.289721643826724,35.22782990761707,52.0,39.35733730830886,48.41487374764082,55.569775957799216,54.203320931470614,15.297058540778355,32.31098884280702,25.495097567963924,9.433981132056603,12.206555615733702,12.083045973594572,18.439088914585774,24.186773244895647,35.805027579936315,45.276925690687094,47.434164902525694,41.340053217188775,58.668560575490524,32.31098884280702
22.36067977499789,14.560219778561034,34.40930106817051,,25.0,42.72001872658765,33.541019662496836,35.355339059327385,45.04442251822083,15.0,29.154759474226502,40.311288741492746,11.180339887498945,32.01562118716424,53.150729063673246,47.16990566028302,51.478150704935004,52.20153254455275,35.355339059327385,42.72001872658765,22.36067977499789,26.925824035672523,36.40054944640259,40.0,14.142135623730953,26.925824035672523,18.027756377319946,20.615528128088304,16.1245154965971,9.486832980505136,21.213203435596427,25.0,31.240998703626612,7.280109889280517,14.142135623730953,21.54065922853801,55.081757415681636,43.01162633521314,64.03124237432849,33.376638536557266,25.0,40.162171256046406,45.276925690687094,52.80151512977634,53.82378656319155,49.49747468305833,53.084837759947995,48.27007354458868,42.57933771208753,54.12947441089743,8.246211251235321
25.0,32.202484376209235,20.223748416156685,25.0,,41.23105625617661,31.622776601683796,46.09772228646443,50.53711507397311,40.0,47.16990566028302,57.00877125495689,15.811388300841895,25.495097567963924,41.23105625617661,29.154759474226502,45.0,50.99019513592785,40.311288741492746,56.56854249492381,46.09772228646443,10.0,14.142135623730953,15.0,18.027756377319946,10.0,14.142135623730953,28.284271247461906,22.02271554554524,23.769728648009423,42.72001872658765,40.0,52.92447448959697,32.062439083762804,36.40054944640259,45.70557952810575,66.40030120413611,35.0,52.20153254455275,9.433981132056603,15.811388300841895,18.384776310850235,32.01562118716424,36.23534186398688,44.407206622349044,52.20153254455275,59.94163828258284,59.20304046246274,52.80151512977634,68.59300255857006,28.16025568065745
20.615528128088304,32.202484376209235,23.853720883753127,42.72001872658765,41.23105625617661,,10.0,20.615528128088304,13.92838827718412,50.0,33.541019662496836,35.355339059327385,35.355339059327385,15.811388300841895,20.0,29.154759474226502,11.180339887498945,10.0,11.180339887498945,30.0,46.09772228646443,31.622776601683796,36.05551275463989,47.16990566028302,50.24937810560446,50.99019513592785,30.0,22.36067977499789,26.925824035672523,50.44799302251776,39.05124837953327,27.202941017470888,43.829214001622255,43.9089968002003,55.90169943749475,59.405386961116584,32.69556544854363,11.180339887498945,26.925824035672523,48.46648326421054,25.495097567963924,35.4682957019364,20.12461179749811,28.16025568065745,16.492422502470642,12.041594578792296,22.203603311174522,26.925824035672523,22.09072203437452,39.05124837953327,36.23534186398688
11.180339887498945,24.839484696748446,16.401219466856727,33.541019662496836,31.622776601683796,10.0,,20.615528128088304,19.849433241279208,42.42640687119285,30.413812651491103,35.355339059327385,25.495097567963924,7.071067811865476,22.36067977499789,25.495097567963924,18.027756377319946,20.0,11.180339887498945,31.622776601683796,40.311288741492746,22.36067977499789,28.284271247461906,39.05124837953327,40.311288741492746,41.23105625617661,20.0,14.142135623730953,17.464249196572982,40.80441152620632,33.541019662496836,22.803508501982762,40.26164427839479,35.60898762952972,47.16990566028302,51.66236541235796,37.8021163428716,11.180339887498945,32.01562118716424,39.35733730830886,15.811388300841895,28.600699292150182,18.027756377319946,27.07397274136177,21.2602916254693,20.615528128088304,29.206163733020468,31.06444913401813,25.05992817228333,42.485291572496,27.802877548915692
21.213203435596427,21.02379604162864,36.24913792078372,35.355339059327385,46.09772228646443,20.615528128088304,20.615528128088304,,12.206555615733702,36.40054944640259,14.142135623730953,15.0,33.541019662496836,26.925824035672523,40.311288741492746,46.09772228646443,31.622776601683796,25.0,10.0,11.180339887498945,29.154759474226502,39.05124837953327,47.16990566028302,57.00877125495689,47.434164902525694,54.083269131959845,32.01562118716424,18.027756377319946,24.698178070456933,44.721359549995796,22.36067977499789,11.180339887498945,24.20743687382041,33.06055050963308,45.276925690687094,45.541190146942796,20.591260281974,30.0,47.434164902525694,55.17245689653489,32.01562118716424,48.301138702933294,38.209946349085605,47.095647357266465,37.10795063055895,18.439088914585774,18.110770276274835,13.41640786499874,7.280109889280517,22.803508501982762,27.166155414412252
26.248809496813372,31.57530680769389,36.069377593742864,45.04442251822083,50.53711507397311,13.92838827718412,19.849433241279208,12.206555615733702,,48.10405388322278,26.248809496813372,24.166091947189145,40.79215610874228,26.90724809414742,33.376638536557266,42.941821107167776,23.0,13.92838827718412,10.44030650891055,17.720045146669353,41.340053217188775,41.88078318274385,48.10405388322278,58.89821729050889,55.578772926361005,59.615434243155526,37.336309405188935,25.179356624028344,31.57530680769389,54.00925846556311,34.48187929913333,22.84731931759173,36.069377593742864,43.93176527297759,56.29387178015028,57.384666941614284,18.788294228055932,25.079872407968914,38.3275357934736,58.830264320330905,34.9857113690718,48.16637831516918,34.0147027033899,42.05948168962618,29.017236257093817,6.4031242374328485,9.433981132056603,13.152946437965904,9.486832980505136,25.317977802344327,37.21558813185679
32.01562118716424,17.804493814764854,47.4236228055175,15.0,40.0,50.0,42.42640687119285,36.40054944640259,48.10405388322278,,25.0,35.355339059327385,25.495097567963924,43.01162633521314,64.03124237432849,60.41522986797286,60.207972893961475,58.309518948453004,40.311288741492746,40.0,11.180339887498945,41.23105625617661,50.99019513592785,55.0,26.925824035672523,41.23105625617661,31.622776601683796,28.284271247461906,26.925824035672523,20.12461179749811,15.0,25.29822128134704,21.93171219946131,8.246211251235321,11.180339887498945,9.433981132056603,53.0,53.150729063673246,74.33034373659251,48.25971404805462,38.078865529319536,54.57105459856901,57.14017850864661,65.36818798161687,63.6553218513582,53.71219600798314,54.3415126767741,47.16990566028302,42.7551166528639,49.648766349225646,15.264337522473747
